ნაკვეთის კოდი,ფართი (მ2),კოტეჯის ტიპი,კოტეჯის ფასი ($),მიწის ფასი ($),ჯამი (Turnkey) ($)
LB-25,317.4,Alpine Studio,77000,15869,92869
LC-1,491.0,Eco Cottage,187000,24550,211550
LC-2,558.5,Eco Cottage,187000,27925,214925
LC-3,525.7,Eco Cottage,187000,26285,213285
LC-4,408.2,Alpine 1 Bed,105000,20410,125410
LC-5,570.0,Eco Cottage,187000,28500,215500
LC-6,399.0,Alpine Studio,77000,19950,96950
LC-7,570.0,Eco Cottage,187000,28500,215500
LC-8,389.8,Alpine Studio,77000,19490,96490
LC-9,741.9,Comfort Chalet,264000,37095,301095
LC-10,380.5,Alpine Studio,77000,19025,96025
LC-11,789.9,Comfort Chalet,264000,39495,303495
LC-12,372.3,Alpine Studio,77000,18615,95615
LC-13,509.8,Eco Cottage,187000,25490,212490
LC-14,370.5,Alpine Studio,77000,18525,95525
LC-15,454.3,Eco Cottage,187000,22715,209715
LC-16,369.8,Alpine Studio,77000,18490,95490
LC-17,369.9,Alpine Studio,77000,18495,95495
LC-18,369.1,Alpine Studio,77000,18455,95455
LC-19,426.8,Alpine 1 Bed,105000,21340,126340
LC-20,369.1,Alpine Studio,77000,18455,95455
LC-21,426.8,Alpine 1 Bed,105000,21340,126340
LC-22,379.4,Alpine Studio,77000,18970,95970
LC-23,426.8,Alpine 1 Bed,105000,21340,126340
LC-24,392.9,Alpine Studio,77000,19645,96645
LC-25,426.8,Alpine 1 Bed,105000,21340,126340
LC-26,398.4,Alpine Studio,77000,19920,96920
LC-27,426.8,Alpine 1 Bed,105000,21340,126340
LC-28,377.0,Alpine Studio,77000,18850,95850
LC-29,426.8,Alpine 1 Bed,105000,21340,126340
LC-30,342.3,Alpine Studio,77000,17115,94115
LC-31,426.8,Alpine 1 Bed,105000,21340,126340
LC-32,430.3,Alpine 1 Bed,105000,21515,126515
LC-33,426.8,Alpine 1 Bed,105000,21340,126340
LC-35,426.8,Alpine 1 Bed,105000,21340,126340
LC-37,426.8,Alpine 1 Bed,105000,21340,126340
LC-39,428.7,Alpine 1 Bed,105000,21435,126435
LC-41,467.1,Eco Cottage,187000,23355,210355
LC-43,420.0,Alpine 1 Bed,105000,21000,126000
LC-45,420.0,Alpine 1 Bed,105000,21000,126000
LC-47,420.0,Alpine 1 Bed,105000,21000,126000
LC-49,420.0,Alpine 1 Bed,105000,21000,126000
LC-51,394.1,Alpine Studio,77000,19705,96705
LC-53,342.3,Alpine Studio,77000,17115,94115
LC-55,388.7,Alpine Studio,77000,19435,96435
LC-57,413.0,Alpine 1 Bed,105000,20650,125650
LC-59,419.3,Alpine 1 Bed,105000,20965,125965
LC-61,426.2,Alpine 1 Bed,105000,21310,126310
LC-63,427.8,Alpine 1 Bed,105000,21390,126390
LC-65,415.7,Alpine 1 Bed,105000,20785,125785
LD-1,474.0,Eco Cottage,187000,23700,210700
LD-2,420.0,Alpine 1 Bed,105000,21000,126000
LD-3,474.0,Eco Cottage,187000,23700,210700
LD-4,420.0,Alpine 1 Bed,105000,21000,126000
LD-6,420.0,Alpine 1 Bed,105000,21000,126000
LD-8,420.1,Alpine 1 Bed,105000,21005,126005
LD-10,436.0,Alpine 1 Bed,105000,21800,126800
LD-12,395.1,Alpine Studio,77000,19755,96755
LD-14,522.0,Eco Cottage,187000,26100,213100
